S.NO.,Milestone,PAGE NAME,PAGE LINK,TOTAL,Completed,Remaining,Cumulative,Subject,Year,Status,Progress %,Milestone Boundary
1,M1,JEE Main 27 June 2022 Paper Shift 2 - Maths,https://www.iitianacademy.com/jee-main-27-june-2022-paper-shift-2_maths/,30,30,0,Q1-Q30,Maths,2022,Completed,100.0,
2,M1,JEE Main 27 June 2022 Paper Shift 2 - Physics,https://www.iitianacademy.com/jee-main-27-june-2022-paper-shift-2_physics/,30,30,0,Q31-Q60,Physics,2022,Completed,100.0,
3,M1,AP Stats 2018 Practice Paper MCQs,https://www.iitianacademy.com/ap_stats_2018_practice_paper_mcqs/,40,40,0,Q61-Q100,AP Stats,2018,Completed,100.0,
4,M1,AP Stats 2017 MCQs,https://www.iitianacademy.com/ap_stats_2017_mcqs/,40,40,0,Q101-Q140,AP Stats,2017,Completed,100.0,
5,M1,AP Stats 2016 MCQs,https://www.iitianacademy.com/ap_stats_2016_mcqs/,40,40,0,Q141-Q180,AP Stats,2016,Completed,100.0,
6,M1,AP Stats 2015 Practice Paper MCQ,https://www.iitianacademy.com/ap_stats_2015_practice_paper_mcq/,40,40,0,Q181-Q220,AP Stats,2015,Completed,100.0,
7,M1,https://www.iitianacademy.com/ap_stats_2015_mul...,https://www.iitianacademy.com/ap_stats_2015_multiple_choice/,40,40,0,Q221-Q260,AP Stats,2015,Completed,100.0,
8,M1,JEE Main 27 June 2022 Paper Shift 2 - Chemistry,https://www.iitianacademy.com/jee-main-27-june-2022-paper-shift-2_chemistry/,30,30,0,Q261-Q290,Chemistry,2022,Completed,100.0,
9,M1,Ap Stats 2014 Mcqs,https://www.iitianacademy.com/ap_stats_2014_mcqs/,40,40,0,Q291-Q330,AP Stats,2014,Completed,100.0,
10,M1,Ap Stats 2012 Practice Paper Mcq,https://www.iitianacademy.com/ap_stats_2012_practice_paper_mcq/,40,40,0,Q331-Q370,AP Stats,2012,Completed,100.0,
11,M1,Ap Stats 2013 Practice Paper Mcq,https://www.iitianacademy.com/ap_stats_2013_practice_paper_mcq/,40,40,0,Q371-Q410,AP Stats,2013,Completed,100.0,
12,M1,https://www.iitianacademy.com/ap_stats_2008_mcq/,https://www.iitianacademy.com/ap_stats_2008_mcq/,40,40,0,Q411-Q450,AP Stats,2008,Completed,100.0,
13,M1,https://www.iitianacademy.com/ap_stats_2007_mcqs/,https://www.iitianacademy.com/ap_stats_2007_mcqs/,30,30,0,Q451-Q480,AP Stats,2007,Completed,100.0,ðŸŽ¯ M1 Target Reached!
14,M2,Ap Statistics 2024 Frq,https://www.iitianacademy.com/ap_statistics_2024_frq/,6,6,0,Q481-Q486,AP Stats,2024,Completed,100.0,
15,M2,Ap Statistics 2023 Frq,https://www.iitianacademy.com/ap_statistics_2023_frq/,6,6,0,Q487-Q492,AP Stats,2023,Completed,100.0,
16,M2,Ap Statistics 2022 Frq,https://www.iitianacademy.com/ap_statistics_2022_frq/,6,6,0,Q493-Q498,AP Stats,2022,Completed,100.0,
17,M2,Ap Statistics 2021 Frq,https://www.iitianacademy.com/ap_statistics_2021_frq/,6,6,0,Q499-Q504,AP Stats,2021,Completed,100.0,
18,M2,Ap Statistics 2019 Frq,https://www.iitianacademy.com/ap_statistics_2019_frq/,6,6,0,Q505-Q510,AP Stats,2019,Completed,100.0,
19,M2,https://www.iitianacademy.com/ap_statistics_201...,https://www.iitianacademy.com/ap_statistics_2018_frq/,6,6,0,Q511-Q516,AP Stats,2018,Completed,100.0,
20,M2,Ap Statistics 2017 Frq,https://www.iitianacademy.com/ap_statistics_2017_frq/,6,6,0,Q517-Q522,AP Stats,2017,Completed,100.0,
21,M2,Ap Statistics 2016 Frq,https://www.iitianacademy.com/ap_statistics_2016_frq/,6,6,0,Q523-Q528,AP Stats,2016,Completed,100.0,
22,M2,Ap Statistics 2015 Frq,https://www.iitianacademy.com/ap_statistics_2015_frq/,6,6,0,Q529-Q534,AP Stats,2015,Completed,100.0,
23,M2,https://www.iitianacademy.com/ap_stat_unit1_pro...,https://www.iitianacademy.com/ap_stat_unit1_progress_check_mcq_part_a/,18,18,0,Q535-Q552,AP Stats,2022,Completed,100.0,
24,M2,Ap Stat Unit3 Progress Check Mcq Part A,https://www.iitianacademy.com/ap_stat_unit3_progress_check_mcq_part_a/,12,12,0,Q553-Q564,AP Stats,2022,Completed,100.0,
25,M2,Ap Stat Unit8 Progress Check Mcq Part A,https://www.iitianacademy.com/ap_stat_unit8_progress_check_mcq_part_a/,16,16,0,Q565-Q580,AP Stats,2022,Completed,100.0,
26,M2,Ap Statistics 2025 Frq,https://www.iitianacademy.com/ap_statistics_2025_frq/,6,6,0,Q581-Q586,AP Stats,2025,Completed,100.0,
27,M2,https://www.iitianacademy.com/ap_statistics_201...,https://www.iitianacademy.com/ap_statistics_2014_frq/,6,6,0,Q587-Q592,AP Stats,2014,Completed,100.0,
28,M2,Ap Statistics 2013 Frq,https://www.iitianacademy.com/ap_statistics_2013_frq/,6,6,0,Q593-Q598,AP Stats,2013,Completed,100.0,
29,M2,Ap Statistics 2012 Frq,https://www.iitianacademy.com/ap_statistics_2012_frq/,6,6,0,Q599-Q604,AP Stats,2012,Completed,100.0,
30,M2,Ap Statistics 2011 Frq,https://www.iitianacademy.com/ap_statistics_2011_frq/,6,6,0,Q605-Q610,AP Stats,2011,Completed,100.0,
31,M2,Ap Statistics 2010 Frq,https://www.iitianacademy.com/ap_statistics_2010_frq/,6,6,0,Q611-Q616,AP Stats,2010,Completed,100.0,
32,M2,https://www.iitianacademy.com/ap_chemistry_2015...,https://www.iitianacademy.com/ap_chemistry_2015_mcq/,50,50,0,Q617-Q666,Chemistry,2015,Completed,100.0,
33,M2,Ap Chemistry 2016 Mcq,https://www.iitianacademy.com/ap_chemistry_2016_mcq/,50,50,0,Q667-Q716,Chemistry,2016,Completed,100.0,
34,M2,Ap Chemistry 2017 Mcq,https://www.iitianacademy.com/ap_chemistry_2017_mcq/,50,50,0,Q717-Q766,Chemistry,2017,Completed,100.0,
35,M2,Ap Chemistry 2014 Mcq,https://www.iitianacademy.com/ap_chemistry_2014_mcq/,50,50,0,Q767-Q816,Chemistry,2014,Completed,100.0,
36,M2,https://www.iitianacademy.com/ap_chemistry_2013...,https://www.iitianacademy.com/ap_chemistry_2013_mcq/,75,75,0,Q817-Q891,Chemistry,2013,Completed,100.0,
37,M3,https://www.iitianacademy.com/ap_chemistry_2012...,https://www.iitianacademy.com/ap_chemistry_2012_mcq/,75,75,0,Q892-Q966,Chemistry,2012,Completed,100.0,ðŸŽ¯ M2 Target Reached!
38,M3,Ap Chemistry 2008 Mcq,https://www.iitianacademy.com/ap_chemistry_2008_mcq/,75,75,0,Q967-Q1041,Chemistry,2008,Completed,100.0,
39,M3,2025_may_biology_paper_2_tz3_hl,https://www.iitianacademy.com/2025_may_biology_paper_2_tz3_hl/,10,10,0,Q1042-Q1051,Biology,2025,Completed,100.0,
40,M3,2025_may_biology_paper_2_tz2_sl,https://www.iitianacademy.com/2025_may_biology_paper_2_tz2_sl/,10,10,0,Q1052-Q1061,Biology,2025,Completed,100.0,
41,M3,2025_may_biology_paper_2_tz2_hl,https://www.iitianacademy.com/2025_may_biology_paper_2_tz2_hl/,10,10,0,Q1062-Q1071,Biology,2025,Completed,100.0,
42,M3,2025_may_biology_paper_2_tz1_sl,https://www.iitianacademy.com/2025_may_biology_paper_2_tz1_sl/,7,7,0,Q1072-Q1078,Biology,2025,Completed,100.0,
43,M3,2025_may_biology_paper_2_tz1_hl,https://www.iitianacademy.com/2025_may_biology_paper_2_tz1_hl/,10,10,0,Q1079-Q1088,Biology,2025,Completed,100.0,
44,M3,2025 May Chemistry Paper 1a Tz1 Sl,https://www.iitianacademy.com/2025_may_chemistry_paper_1a_tz1_sl/,30,30,0,Q1089-Q1118,Chemistry,2025,Completed,100.0,
45,M3,2025 May Chemistry Paper 2 Tz1 Sl,https://www.iitianacademy.com/2025_may_chemistry_paper_2_tz1_sl/,6,6,0,Q1119-Q1124,Chemistry,2025,Completed,100.0,
46,M3,2025 May Chemistry Paper 2 Tz1 Sl,https://www.iitianacademy.com/2025_may_chemistry_paper_2_tz1_sl/,6,6,0,Q1125-Q1130,Chemistry,2025,Completed,100.0,
47,M3,2025_may_chemistry_paper_2_tz2_hl,https://www.iitianacademy.com/2025_may_chemistry_paper_2_tz2_hl/,4,4,0,Q1131-Q1134,Chemistry,2025,Completed,100.0,
48,M3,2025 May Physics Paper 1a Tz1 Sl,https://www.iitianacademy.com/2025_may_physics_paper_1a_tz1_sl/,25,25,0,Q1135-Q1159,Physics,2025,Completed,100.0,
49,M3,2025 May Physics Paper 1a Tz2 Hl,https://www.iitianacademy.com/2025_may_physics_paper_1a_tz2_hl/,40,40,0,Q1160-Q1199,Physics,2025,Completed,100.0,
50,M3,Ap Chemistry 2002 Mcq,https://www.iitianacademy.com/ap_chemistry_2002_mcq/,75,75,0,Q1200-Q1274,Chemistry,2002,Completed,100.0,
51,M3,Ap Chemistry 1999 Mcq,https://www.iitianacademy.com/ap_chemistry_1999_mcq/,75,75,0,Q1275-Q1349,Chemistry,1999,Completed,100.0,
52,M3,Ap Chemistry 1994 Mcq,https://www.iitianacademy.com/ap_chemistry_1994_mcq/,75,75,0,Q1350-Q1424,Chemistry,1994,Completed,100.0,
53,Beyond,2025 May Physics Paper 1a Tz3 Hl,https://www.iitianacademy.com/2025_may_physics_paper_1a_tz3_hl/,25,25,0,Q1425-Q1449,Physics,2025,Completed,100.0,ðŸŽ¯ M3 Target Reached!
